Instrument,Date,Time,Record Type,Price,Volume,Value,Bid Price,Bid Size,Ask Price,Ask Size,Midpoint Price,Spread,Relative Spread,Qualifiers
"WOW","2016-05-02","10:16:06.550","TRADE","22.060","106","2338.36","","","","","22.06","","","XT Si"
"WOW","2016-05-02","10:16:12.328","TRADE","22.070","10","220.7","","","","","22.07","","","Si"
"WOW","2016-05-02","10:16:12.328","TRADE","22.070","203","4480.21","","","","","22.07","","","Bi"
"WOW","2016-05-02","10:16:41.626","TRADE","22.080","500","11040","","","","","22.08","","","Bi"
"WOW","2016-05-02","10:16:41.630","TRADE","22.080","46","1015.68","","","","","22.08","","","Bi"
"WOW","2016-05-02","10:16:48.761","TRADE","22.090","104","2297.36","","","","","22.09","","","Bi"
"WOW","2016-05-02","10:16:48.761","TRADE","22.090","89","1966.01","","","","","22.09","","","Bi"
"WOW","2016-05-02","10:16:48.761","TRADE","22.090","8","176.72","","","","","22.09","","","Bi"
"WOW","2016-05-02","10:16:56.901","TRADE","22.100","59","1303.9","","","","","22.1","","","Bi"
"WOW","2016-05-02","10:16:56.901","TRADE","22.100","200","4420","","","","","22.1","","","Bi"
"WOW","2016-05-02","10:16:56.901","TRADE","22.100","165","3646.5","","","","","22.1","","","Bi"
"WOW","2016-05-02","10:16:56.901","TRADE","22.100","111","2453.1","","","","","22.1","","","Bi"
"WOW","2016-05-02","10:17:16.867","TRADE","22.090","1637","36161.33","","","","","22.09","","","Si"
"WOW","2016-05-02","10:17:16.867","TRADE","22.090","157","3468.13","","","","","22.09","","","XT Si"
"WOW","2016-05-02","10:17:16.867","TRADE","22.090","403","8902.27","","","","","22.09","","","Si"
"WOW","2016-05-02","10:17:16.867","TRADE","22.090","220","4859.8","","","","","22.09","","","Si"
"WOW","2016-05-02","10:17:17.340","TRADE","22.100","207","4574.7","","","","","22.1","","","Bi"
"WOW","2016-05-02","10:17:17.340","TRADE","22.100","262","5790.2","","","","","22.1","","","Si"
"WOW","2016-05-02","10:17:17.340","TRADE","22.100","500","11050","","","","","22.1","","","Si"
"WOW","2016-05-02","10:17:17.340","TRADE","22.100","266","5878.6","","","","","22.1","","","Si"
"WOW","2016-05-02","10:17:24.787","TRADE","22.090","1","22.09","","","","","22.09","","","Si"
"WOW","2016-05-02","10:17:24.787","TRADE","22.090","86","1899.74","","","","","22.09","","","XT Si"
"WOW","2016-05-02","10:17:26.549","TRADE","22.110","31","685.41","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:17:27.475","TRADE","22.110","45","994.95","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:17:28.484","TRADE","22.110","15","331.65","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:17:29.198","TRADE","22.090","53","1170.77","","","","","22.09","","","Si"
"WOW","2016-05-02","10:17:30.529","TRADE","22.090","80","1767.2","","","","","22.09","","","Si"
"WOW","2016-05-02","10:17:48.469","TRADE","22.090","33","728.97","","","","","22.09","","","Si"
"WOW","2016-05-02","10:17:48.469","TRADE","22.090","17","375.53","","","","","22.09","","","Si"
"WOW","2016-05-02","10:17:52.463","TRADE","22.100","149","3292.9","","","","","22.1","","","Si"
"WOW","2016-05-02","10:17:52.463","TRADE","22.100","21","464.1","","","","","22.1","","","Si"
"WOW","2016-05-02","10:17:52.463","TRADE","22.100","2","44.2","","","","","22.1","","","Si"
"WOW","2016-05-02","10:17:52.570","TRADE","22.110","13","287.43","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:17:53.805","TRADE","22.100","180","3978","","","","","22.1","","","Si"
"WOW","2016-05-02","10:17:54.243","TRADE","22.100","75","1657.5","","","","","22.1","","","Si"
"WOW","2016-05-02","10:17:56.859","TRADE","22.110","15","331.65","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:18:02.003","TRADE","22.110","2","44.22","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:18:02.003","TRADE","22.110","1","22.11","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:18:02.088","TRADE","22.100","76","1679.6","","","","","22.1","","","Si"
"WOW","2016-05-02","10:18:02.089","TRADE","22.100","54","1193.4","","","","","22.1","","","Si"
"WOW","2016-05-02","10:18:02.089","TRADE","22.100","52","1149.2","","","","","22.1","","","Si"
"WOW","2016-05-02","10:18:03.002","TRADE","22.110","8","176.88","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:18:03.002","TRADE","22.110","7","154.77","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:18:03.399","TRADE","22.100","40","884","","","","","22.1","","","Si"
"WOW","2016-05-02","10:18:06.815","TRADE","22.100","76","1679.6","","","","","22.1","","","Si"
"WOW","2016-05-02","10:18:07.231","TRADE","22.110","9","198.99","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:18:17.682","TRADE","22.100","245","5414.5","","","","","22.1","","","Si"
"WOW","2016-05-02","10:18:17.682","TRADE","22.100","18","397.8","","","","","22.1","","","Si"
"WOW","2016-05-02","10:18:17.694","TRADE","22.100","669","14784.9","","","","","22.1","","","Bi"
"WOW","2016-05-02","10:18:17.694","TRADE","22.100","868","19182.8","","","","","22.1","","","Bi"
"WOW","2016-05-02","10:18:17.694","TRADE","22.100","117","2585.7","","","","","22.1","","","Bi"
"WOW","2016-05-02","10:18:18.095","TRADE","22.100","151","3337.1","","","","","22.1","","","Si"
"WOW","2016-05-02","10:18:18.525","TRADE","22.100","100","2210","","","","","22.1","","","Si"
"WOW","2016-05-02","10:18:18.525","TRADE","22.100","260","5746","","","","","22.1","","","Si"
"WOW","2016-05-02","10:18:18.536","TRADE","22.100","110","2431","","","","","22.1","","","Bi"
"WOW","2016-05-02","10:18:18.565","TRADE","22.100","609","13458.9","","","","","22.1","","","Bi"
"WOW","2016-05-02","10:18:20.453","TRADE","22.100","1678","37083.8","","","","","22.1","","","Bi"
"WOW","2016-05-02","10:18:20.453","TRADE","22.100","1255","27735.5","","","","","22.1","","","Bi"
"WOW","2016-05-02","10:18:20.453","TRADE","22.100","90","1989","","","","","22.1","","","Bi"
"WOW","2016-05-02","10:18:20.453","TRADE","22.100","120","2652","","","","","22.1","","","Bi"
"WOW","2016-05-02","10:18:20.558","TRADE","22.110","984","21756.24","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:18:20.558","TRADE","22.110","106","2343.66","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:18:20.558","TRADE","22.110","164","3626.04","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:18:20.558","TRADE","22.110","124","2741.64","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:18:20.558","TRADE","22.110","47","1039.17","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:18:20.558","TRADE","22.110","51","1127.61","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:18:20.558","TRADE","22.110","96","2122.56","","","","","22.11","","","Bi"
"WOW","2016-05-02","10:18:20.987","TRADE","22.110","137","3029.07","","","","","22.11","","","Si"
"WOW","2016-05-02","10:18:25.660","TRADE","22.110","210","4643.1","","","","","22.11","","","Si"
"WOW","2016-05-02","10:18:29.082","TRADE","22.110","203","4488.33","","","","","22.11","","","Si"
